name,id
Aggregated End of Month Physical Stock Count This Month,CsdoVdSy7Cg
Aggregated Facilities Ending Balance (SoH),SxS2l5wIovC
Aggregated Quantity Used/Dispensed This Month,s7m9V9oJrMt
Aggregated SDPs Quantity Dispensed (consumption),taH7Zy098ra
Agizo Seed Ministry,dHbFlYP2wwY
Ago Koka Self Youth Group,JA9HsFNUo9H
Agoro Women Group,oNiYWbw53FP
Agow women group,pvaYkVInzKT
Agro environmental Farmers Association ,Os3xJ2Q77EV
Agro environmental farmers,ALCg8pdL5CJ
Aguthi- Thageini,HBjjdsYV7ns
Ahadi Kiembeni Women Group,WUW5dr2kBng
Ahadi Treatment and Rehab Center,yDNA1FPYiBL
Ahero Boya Hera Nyimine Women Group,oElg8HyR3MI
Ahero County Hospital,ZACG9LKOCJE
Ahero Participatory Educational Theatre Group,kCiBX0Iapbq
Ahero Youth Farmer,sqGLjevqAvv
Aic Kilgoris Cdc,htQPFSFTtG1
Aic Kirenga,ywoKAT7yHha
Aic-Kaptwolo Community Youth Group,k3rTStGi2Y6
"Aids Healthcare Foundation, Kenya",RVZkvmDBT9C
Aids Orphans Care & Support Programme,n1AG2m3WQI6
Aids Relief Programs Arp,WSFTl2nls8s
Aids Resource Center,MxOcMkOzbiB
Ainab Tomono,gwKiv4KospO
Aipca Gakawa Priest Council Cbo,uEejCNBbX8Q
Aipca Nyahururu Mun. Youth Group,KvjKZ4xjXSR
Airbase Daughters Of Zion Women Shg,wevg1m8HKkg
Airport Health Centre,o8ZXvqnStsm
Ajawa Gaboyo self help Group,bU8oCOIN6pe
Aka Ma Ndiwa S.H.G,CfUkr3Lit9Z
Akacer Women Group,w2uL2sByCtR
Akachiu Youngstars ,sSEe8evp9HU
Akamba Handcrafts Peer Educators,VsCefDePyFo
Akiba Haiozi Self Help Group,pcWtE5pc0lN
Akiduku Community Self Help Group,LnuffkeJDrM
Akikeun Group,sQ2vGU9VslT
Akili Ni Mali Women Support Group,UNE1jp5AbsR
Akimoro Youth Grouth,FZEEYhY6FD7
Akiparakin Women Group,Wo4lobmI1nG
Akiro Yg,Z5662S4xbzs
Akithi central PWDs ,aGFyyMm1EDU
Akiyalamikin Women Group,b6eNKIwtMz3
Akobwait Eseny,wS7Ih7YBpXU
Akobwait Upendo Magnet Theatre Women Grp,nZyWdQqwWrp
Akoreet Networking,D54bzxEnuv0
Akour Cbo,IKsGJ6snqi1
Akudep Cbo,Dl2oxaFp801
Akukuranut DEVT Trust,ALOfturFVWY
Akukuranut Development Trust(ADT),kabNoUje51G
Akumu Self Help Group,hPyrPWopIA5
Al - Abrar   Mosque Committee,nPdYYCezzRK
Al - Iqra Women Group,wDuWBkqjsE1
Al Amin Godoma Youth Group,voLL57qJYhS
Al Amin Self Help,ZbP1VQ4mfcl
Al Aqsa Women Group,lFsrxeUgGyS
Al Bayan Self Help Group,NwC3Er4oJTD
Al Hidaya Youth Group,vJtizPDEMqC
Al Liban Youth Group,zcQR4muLlx0
Al Mubarak Youth Group,J2JRN5ycxhJ
Al Nur Batalu Youth Group,Z6HYrLo4zIe
Al Rahma Self Help Group,pDoSEc1Q9Yo
Al hakima Self Help Group,oToduRLmBCG
Al hamdu rehabilitation and treatment,yaadZ4NAESk
Al noor Kizingitini Self help group,FgLr0bYamgR
Al- Hilal Group,jQy5XGElyDx
Al-Amin Self Help Group,Tqu1lEERr3J
Al-Buruj Welfare  Youth Group,tskDpxAGvxN
Al-Fatah Self Help Group,Cdpj0ta8AvC
Al-Furqan  Mawmaw Women Group,Z8l1i9Lz3Jx
Al-Habib Women Group,YdDJUlbJvS8
Al-Hamdu Qarsa-Sare Youth Group,YHHqFHtWKYy
Al-Ihsan Uluma,XzwgnJFjjWP
Al-Iman Tujiunge Self Help Group,FFgXG6otqEt
Al-Imran Youth Aids Awareness Group,Ls1ijpcRwXK
Al-Iqbal Self Help Group,Cclwvg1HTqK
Al-Iqbal Youth Group,hfUOlxnz6ck
Al-Maaruf Youth Group,bOp0VSx45xS
Al-Maruf Livestock Trades,gyYS8GyJhi9
Al-Naem Handaki Youth,KhGTEwUzWH3
